Name,Age,Salary,Join Date,City
Janet,102,52468,2022-07-17,NYC
William,32,97407,2022-04-17,NYC
Lee,46,72528,2020-02-16,New York City
,61,62354,2009-05-17,LA
Keith,95,97253,2011-04-07,
Amy,60,61042,2010-12-11,Chicago
Andrew,109,71510,2004-05-02,Los Angeles
Emily,104,98955,2017-10-10,LA
Peggy,49,50900,2002-10-11,New York City
Michael,43,81489,2018-11-17,NYC
Penny,,88554,2006-12-20,NYC
Micheal,119,91437,2011-02-20,Chicago
Natasha,78,78132,2000-03-12,Chicago
Gerald,72,84352,2007-04-18,NYC
Katherine,82,63831,2002-11-13,Houston
Wesley,49,81920,2009-01-05,Los Angeles
Hailey,16,56035,2021-02-04,Houston
Abigail,-2,51163,2002-09-01,
Christopher,,80378,2000-08-08,LA
Heather,90,96965,2023-08-17,Chicago
Joseph,113,83989,2024-01-22,New York City
Jill,-5,87962,2016-01-26,LA
Jessica,9,65190,2021-09-07,NYC
,109,62082,2022-03-23,LA
Logan,44,87594,2012-02-18,New York City
Manuel,28,95476,2022-02-15,NYC
Glenn,47,74800,2007-03-03,Chicago
Audrey,117,52815,2017-09-26,NYC
Brent,12,89359,2002-03-03,LA
Thomas,69,70657,2000-07-30,Houston
Alison,73,77207,2001-09-12,Houston
John,107,81782,2016-08-02,LA
Ashley,59,77913,2015-10-18,Chicago
Helen,29,95672,2003-01-28,Houston
Lisa,71,53042,2023-08-12,Chicago
Charles,48,79578,2002-02-09,Los Angeles
Frederick,87,58349,2014-04-01,Los Angeles
Deborah,73,61946,2011-11-23,Los Angeles
Emily,,86392,2015-11-11,Chicago
Robin,50,51791,2016-06-03,NYC
Bobby,95,88980,2000-06-07,Houston
Mercedes,62,98507,2017-05-28,Los Angeles
Amber,7,90176,2011-07-11,Houston
Joseph,15,87324,2000-07-06,LA
Michelle,120,66479,2002-05-20,NYC
Julie,61,99761,2011-05-14,LA
Jennifer,56,83600,2019-12-05,NYC
Scott,12,54155,2016-05-15,New York City
Donna,54,77222,2008-10-09,Chicago
Kevin,9,65863,2021-08-06,NYC
Michael,42,96515,2017-10-04,NYC
Taylor,52,51502,2000-01-20,New York City
Charles,17,61733,2017-02-07,NYC
Zachary,32,58902,2007-03-13,Chicago
Jessica,112,74673,2020-11-08,LA
Lori,,94217,2000-05-29,New York City
Charles,41,75470,2006-11-28,Houston
Michael,-3,84534,2025-01-29,New York City
Cole,,83071,2017-02-10,Houston
Justin,,70943,2002-09-15,
Anthony,39,89960,2014-04-30,New York City
Matthew,64,84148,2015-05-24,Houston
Angela,80,62555,2020-09-11,Los Angeles
Victoria,81,61545,2012-04-11,NYC
Sarah,8,92411,2003-04-12,Chicago
Mark,,93348,2014-06-11,New York City
Nicholas,55,65881,2011-04-01,
Beth,28,99966,2010-07-16,Houston
Diana,40,58362,2016-08-05,NYC
Keith,60,69727,2007-03-27,New York City
Joseph,39,68629,2008-04-21,NYC
Raymond,100,73411,2002-10-28,New York City
Robert,95,69614,2011-11-16,NYC
Heather,108,89192,2009-10-23,
Elizabeth,5,99771,2012-10-15,Houston
Bryan,12,51246,2017-04-19,Houston
Lee,1,59741,2023-05-20,New York City
Ann,0,99209,2004-09-01,Chicago
Susan,-8,65504,2020-04-24,Los Angeles
Cynthia,17,59108,2014-04-27,
Johnny,68,77082,2009-12-25,LA
Andrea,65,73466,2009-09-04,NYC
,46,81295,2022-05-16,LA
Nancy,113,91280,2000-06-27,LA
Douglas,72,74981,2008-05-23,Chicago
Justin,25,70586,2009-01-26,NYC
Melinda,63,78628,2001-03-07,Houston
Andrew,,73529,2007-08-28,New York City
,,90737,2010-06-14,
Tiffany,4,64567,2013-07-23,New York City
Victoria,43,75458,2020-09-18,Chicago
,13,86452,2018-10-28,New York City
,61,79501,2002-01-15,NYC
Kevin,96,86814,2018-05-02,New York City
Timothy,48,78914,2023-08-19,Los Angeles
Brittany,92,67712,2006-12-02,LA
Robert,63,62866,2003-04-30,New York City
Alexis,86,90131,2012-08-08,Houston
Sabrina,98,77853,2007-07-01,LA
Jonathan,45,78672,2016-01-22,LA
Paige,31,95473,2013-11-15,LA
Kathryn,47,65118,2010-11-20,
Robert,,85256,2010-03-18,Chicago
Kristy,76,76859,2012-03-16,Chicago
Carla,,77446,2006-06-26,Chicago
Michael,-8,81428,2013-12-19,LA
Jonathon,32,96622,2009-07-05,Los Angeles
,95,84514,2016-12-22,Houston
Dale,47,61894,2011-08-02,Houston
Sharon,86,86191,2011-12-20,Houston
Amber,113,50588,2008-06-05,Chicago
Hailey,,99827,2014-03-05,LA
Chad,11,74129,2010-01-12,Chicago
Andrew,81,50751,2006-08-10,Chicago
Melissa,64,78932,2009-03-13,LA
Thomas,39,93816,2007-05-08,LA
Lisa,84,65392,2009-07-07,Los Angeles
Kayla,107,67446,2003-09-04,Los Angeles
Joshua,40,92673,2021-02-08,LA
Madeline,29,79081,2016-03-09,Houston
Tara,2,90864,2014-06-03,Los Angeles
Robert,8,90712,2024-03-13,
Lydia,82,59459,2003-01-13,New York City
Evan,74,71944,2017-09-03,Houston
Linda,5,97861,2005-11-09,
Crystal,92,58125,2007-10-15,New York City
Jane,58,64570,2013-12-23,LA
Mark,59,84641,2013-09-07,LA
Timothy,40,75412,2000-01-12,Houston
Jessica,45,95830,2012-02-06,Los Angeles
Kristopher,-6,74196,2019-03-18,LA
Yvonne,102,72480,2005-03-21,New York City
Kathleen,42,69551,2002-04-20,LA
Tiffany,32,76108,2012-01-02,Houston
Juan,9,96453,2008-04-07,Chicago
Lawrence,104,82735,2000-02-24,Los Angeles
Jeffrey,91,72947,2012-08-06,New York City
Donna,85,92029,2020-05-26,Houston
Allison,14,93283,2020-02-12,NYC
David,37,52740,2022-05-29,Houston
Angela,-5,96370,2011-03-14,NYC
Denise,73,79093,2018-12-06,Chicago
Eric,78,57175,2025-01-17,Los Angeles
,45,78420,2004-12-15,New York City
Aaron,59,61169,2005-01-11,NYC
Alexis,92,82941,2009-01-15,NYC
Heather,18,91521,2021-12-06,Los Angeles
James,37,50169,2022-12-28,
Cynthia,,98149,2009-01-07,Houston
Robert,,81328,2014-12-13,LA
Jason,-1,65287,2003-03-26,LA
Darryl,79,96916,2012-04-25,Chicago
David,,88362,2012-04-01,New York City
Ruth,24,97045,2014-03-13,LA
Vanessa,107,53368,2020-06-12,
Amy,65,79294,2017-12-12,Houston
Christine,101,99572,2005-03-19,Los Angeles
Cody,96,91534,2006-01-02,New York City
Brenda,,77659,2019-09-06,Los Angeles
Rebecca,71,57756,2000-08-23,NYC
Kendra,72,53670,2006-09-13,Chicago
James,111,81003,2014-08-09,Houston
Matthew,,98991,2018-02-02,Chicago
Shawn,,53574,2012-06-28,
Nancy,95,53912,2009-12-27,Los Angeles
Kara,21,52915,2018-11-08,Los Angeles
Brian,51,75723,2020-02-05,New York City
Zachary,7,98964,2005-02-02,New York City
Olivia,0,66689,2024-07-11,NYC
Ronald,,88840,2005-08-23,
John,110,94894,2011-07-08,Chicago
Sarah,86,98277,2010-08-03,LA
Jeremy,115,57237,2016-02-18,Chicago
Jose,85,80948,2023-12-12,New York City
Kevin,112,95243,2019-10-31,New York City
Joseph,104,95107,2020-02-23,
Amber,,65325,2015-02-22,Los Angeles
Scott,102,69824,2017-02-13,Los Angeles
Greg,103,77605,2001-09-23,LA
Marissa,77,77609,2004-04-11,NYC
Leslie,68,76733,2005-03-22,Houston
Rhonda,81,95296,2010-12-28,Los Angeles
Felicia,,96264,2003-08-13,Houston
Jacqueline,9,73170,2001-06-29,LA
Terri,78,52857,2012-02-01,
Angela,90,81487,2013-12-12,NYC
Pamela,19,70255,2009-08-24,Los Angeles
Lori,93,81130,2017-08-04,
Brandy,,52095,2020-08-02,Los Angeles
,60,70561,2003-06-01,Chicago
Nicole,-8,91935,2023-10-16,New York City
Dwayne,8,63476,2014-10-14,New York City
,56,76970,2021-10-18,Chicago
Jesse,2,80128,2018-08-10,LA
Anthony,71,63378,2016-03-14,Los Angeles
Clinton,54,54234,2011-12-28,New York City
Jamie,89,84736,2010-07-16,Houston
Eric,88,63048,2020-07-29,LA
Ashley,94,64628,2009-01-05,LA
Elizabeth,,99937,2021-02-11,
George,,69886,2003-04-27,Chicago
Angela,61,89450,2002-11-14,Los Angeles
Shane,4,51293,2020-06-05,LA
Robert,71,65885,2006-10-26,New York City
Laura,13,62218,2017-12-04,Chicago
Crystal,,97407,2004-01-13,
Alex,22,85861,2006-10-02,Chicago
Christopher,6,90186,2012-01-04,LA
Victoria,57,53487,2007-09-16,Los Angeles
Christopher,21,86035,2020-05-05,LA
Denise,,50345,2003-09-13,New York City
Derek,108,85720,2024-10-24,LA
Sarah,77,78331,2024-02-18,New York City
Linda,112,66129,2014-03-28,Los Angeles
Clarence,0,60869,2012-10-10,Los Angeles
Yolanda,97,53540,2023-03-05,LA
,-1,99550,2021-07-09,
Sherry,112,75272,2000-09-04,New York City
Brian,27,71320,2002-05-20,Houston
Allison,92,86603,2023-05-01,Chicago
Brian,57,79605,2023-02-07,NYC
Stephanie,111,56297,2012-03-25,Houston
Courtney,79,59922,2012-12-03,Houston
Luis,46,53226,2012-05-22,Chicago
Beth,,74403,2005-11-18,New York City
Jennifer,110,55615,2022-08-07,Houston
Jessica,90,88077,2011-06-14,Los Angeles
Holly,39,51644,2007-01-27,Los Angeles
Lori,43,91026,2010-05-16,LA
Shawn,118,78213,2021-11-29,New York City
Walter,32,62856,2017-12-27,New York City
Spencer,99,86444,2008-06-16,LA
Douglas,27,74689,2007-11-18,Houston
David,,50509,2005-07-17,NYC
Alexandra,102,91353,2017-02-01,Los Angeles
Jack,74,91989,2014-06-20,Houston
David,47,76166,2017-07-28,Los Angeles
Dustin,70,64477,2012-09-21,LA
Pam,17,79402,2016-06-17,Houston
Danny,67,80892,2002-06-24,Chicago
Daniel,114,53265,2016-06-13,
Rachel,85,85708,2020-06-03,Los Angeles
Paul,47,79424,2015-09-11,NYC
Denise,61,97509,2015-05-13,New York City
Darlene,29,98286,2001-05-21,Los Angeles
Thomas,90,76961,2014-08-16,Houston
Troy,43,81708,2018-09-26,LA
John,-5,54105,2021-04-01,Los Angeles
Stefanie,10,56519,2024-09-19,New York City
,90,83673,2013-11-29,Chicago
Frank,2,58438,2003-05-08,Houston
Larry,8,51696,2003-01-15,Houston
Carmen,,58903,2005-09-27,Houston
David,,87523,2013-10-06,NYC
Tanya,50,53782,2007-05-08,Los Angeles
Misty,63,95274,2003-08-08,Los Angeles
Amber,11,94689,2020-04-16,Houston
Jennifer,-5,54067,2019-03-12,Chicago
James,41,78366,2003-11-14,Los Angeles
Jennifer,95,93292,2009-01-01,LA
Jeffery,114,73548,2000-03-07,
Sarah,10,81626,2002-03-22,LA
James,0,83492,2015-05-10,Los Angeles
Donald,-1,58992,2017-12-23,New York City
Lori,58,92885,2022-01-22,
Lauren,48,51320,2010-05-09,Los Angeles
Justin,67,64577,2008-08-07,Chicago
Virginia,47,60849,2018-08-01,LA
Richard,107,52319,2007-08-02,NYC
Ashley,,97790,2017-10-03,New York City
Sarah,114,95325,2009-01-13,Chicago
Katrina,1,77503,2021-06-18,
Emily,67,74190,2000-05-03,Houston
Deborah,,82197,2024-06-08,Chicago
Jennifer,-7,96137,2008-09-11,New York City
Daniel,55,52661,2007-09-04,LA
,,82244,2024-06-06,Los Angeles
Susan,98,61381,2007-04-28,New York City
Jennifer,118,89436,2009-06-03,Chicago
Margaret,106,77267,2008-03-07,New York City
William,81,99634,2017-07-09,Chicago
Edward,81,90272,2014-11-23,LA
Joseph,,99228,2009-12-06,New York City
Curtis,-6,70600,2006-08-19,Los Angeles
Kenneth,50,54848,2010-06-09,Los Angeles
Derrick,45,60377,2013-10-05,New York City
Kenneth,27,94812,2001-02-17,
Brian,78,92676,2002-10-13,
Shawn,25,97559,2002-01-02,NYC
Kristina,38,80256,2016-10-20,Chicago
David,58,80204,2009-12-30,New York City
Jaclyn,29,74367,2002-05-28,NYC
Kelly,-3,51512,2016-05-10,Houston
Shannon,107,65384,2023-05-18,LA
Jennifer,8,52482,2009-03-24,Houston
Joshua,24,71420,2009-03-18,NYC
Bridget,113,84954,2013-12-11,New York City
David,98,78604,2017-07-06,New York City
April,26,96774,2025-01-31,Chicago
Heather,98,55219,2021-12-03,New York City
Lindsay,26,94819,2006-05-26,Chicago
Anthony,86,68491,2003-03-24,Chicago
Linda,46,55884,2016-10-05,
Kevin,-1,62760,2013-02-03,New York City
Mark,32,64911,2008-11-24,New York City
Kimberly,-9,77106,2024-06-07,NYC
David,68,57815,2002-08-07,Los Angeles
Joseph,66,94671,2018-09-03,NYC
Bryan,88,90304,2015-02-09,LA
Wendy,51,86686,2023-03-17,New York City
Steve,82,50809,2006-10-01,
Sean,71,67741,2011-08-29,NYC
Kathleen,57,91121,2023-06-02,Chicago
Katherine,110,78711,2017-10-01,LA
Kathy,,67249,2006-10-10,Chicago
Brent,,87608,2007-08-06,NYC
Joseph,34,65600,2010-11-20,Chicago
Sarah,-1,93884,2021-06-05,Chicago
April,22,66933,2021-11-09,
Sharon,120,77361,2009-07-25,LA
Larry,104,84461,2003-11-26,New York City
